Chablis Grand Cru Les Preuses Vincent Dauvissat (White),"Chardonnay, Bourgogne, France"
Corton Charlemagne Coche-Dury (White),"Chardonnay Bourgogne, Côte de Beaune, France"
Montrachet Domaine de la Romanée Conti (White),"Chardonnay, Bourgogne Côte de Beaune, France"
Condrieu Coteau de Vernon Georges Vernay (White),"Viognier, Côtes du Rhône nord, France"
Condrieu André Perret Clos Chanson (White),"Viognier, Côtes du Rhône nord, France"
Hermitage Gérard Chave (White),"Marsanne, Roussanne Côtes du Rhône nord, France"
Châteauneuf-du-Pape blanc 2006 Domaine Marcoux (White),"Roussanne, Marsanne Côtes du Rhône sud, France"
Palette Château Simone (White),"Clairette, Provence, France"
Coteaux du Cap Corse Clos Nicrosi (White),"Vermentino, Corse, France"
Sancerre Monts Damnés François Cotat (White),"Sauvignon, Loire, France"
Pouilly-Fumé Silex Didier Dagueneau (White),"Sauvignon, Loire, France"
Vouvray réserve P. Foreau Clos Naudin sweet (White),"Chenin, Loire, France"
Savennières Thomas Boudignon (White),"Chenin, Loire, France"
Montlouis François Chidaine (White),"Chenin, Loire, France"
Sauternes Château d’Yquem (White),"Sémillon, Bordelais Sauternes, France"
Pessac-Léognan Laville Haut-Brion (White),"Sémillon, Sauvignon Bordelais Graves, France"
Riesling Clos Sainte-Hune Trimbach (White),"Riesling, Alsace, France"
Zind-Humbrecht (White),"Riesling, Alsace, France"
Riesling Grand Cru Kastelberg Marc Kreydenweiss (White),"Riesling, Alsace, France"
Georg Breuer Berg Schlossberg (White),"Riesling, Rheingau, Germany"
Egon Müller Scharzhofberger (White),"Riesling, Moselle, Germany"
Willi Schaefer Dromprost (White),"Riesling, Moselle, Germany"
Franz Xavier Pichler Dürnsteiner Kellerberg (White),"Riesling, Austria"
Tahbilk Vineyard (White),"Marsanne, Victoria, Australia"
Newton Vineyard (White),"Chardonnay, Napa Valley St Helena, USA"
Kim Crawford Wines (White),"Sauvignon blanc, Marlborough, New-zeland"
Peter Michael Winery (White),"Chardonnay, Knights Valley Calistoga, Californie, USA"
Josko Gravner Breg Gravner (White),"Sauvignon, Chardonnay, Pinot Gris, Riesling italico Frioul, Italy"
Trebbiano d’Abruzzo Valentini (White),"Trebbiano d’Abruzzo, trebbiano toscano, passerina, cococciola Abruzzes, Italy"
Cullen Wines (White),"Chardonnay, Margaret River, Australia"
Pierro (White),"Chardonnay, Margaret River, Australia"
Tyrell’s Wines (White),"Sémillon Hunter Valley, Australia"
Saumur-Champigny Clos Rougeard-Foucault & fils,"Cabernet franc, Loire, France"
Saumur-Champigny Thierry Germain,"Cabernet franc, Loire, France"
Chinon Bernard,"Baudry, Cabernet franc, Loire, France"
Saint-Julien Léoville Barton,"Cabernet sauvignon, merlot, Médoc, France"
Savigny-Lès-Beaune 1er Cru Domaine de la Vougeraie,"Pinot noir, Bourgogne, France"
Pommard Grands Épenots Domaine de Courcel,"Pinot noir, Bourgogne, France"
Crozes Hermitage Emmanuel Darnaud,"Syrah, Côtes du Rhône nord, France"
Côte-Rôtie Domaine Jamet,"Syrah, Côtes du Rhône nord, France"
Châteauneuf-du-Pape Château Rayas,"Grenache, Côtes du Rhône sud, France"
Châteauneuf-du-Pape Henri Bonneau,"Grenache, Côtes du Rhône sud, France"
Bandol Château de Pibarnon,"Mourvèdre, Provence, France"
Barolo Giovanni Rosso,"Nebbiolo, Piémont, Italy"
Barolo Roberto Voerzio,"Nebbiolo, Piémont, Italy"
Chianti Classico La Massa,"Sangiovese, Toscane, Italy"
Brunello di Montalcino riserva Case Basse di Gianfranco Soldera,"Sangiovese, Toscane, Italy"
Alvaro Palacios,"Carignan, Priorat, Spain"
Vega Sicilia,"Tempranillo, Ribera del Duero, Spain"
Don Melchior,"Cabernet sauvignon, Chile"
Cheval des Andes,"Malbec, Mendoza, Argentina"
Henschke Hill of Grace,"Syrah, Australia"
Cordoba,"Pinotage, Stellenbosch, South Africa"
Beaux Frères,"Pinot noir, Oregon, USA"
Sloan Wines,"Cabernet sauvignon, Napa Valley Rutherford, California"
Screaming Eagle,"Cabernet sauvignon, Napa Valley Rutherford, California"
Dunn Vineyards Napa Valley,"Cabernet sauvignon, Napa Valley Rutherford, California"
Colgin Cellars Tychson Hill Vineyard,"Cabernet sauvignon, Napa Valley Rutherford, California"
Abreu,"Cabernet sauvignon, Napa Valley Rutherford, California"
